Date,Wellname,Status,WHP_psig_,Temp_F_,P1_Inj,DP_Inj,LineID,Orifice,Source,HrsInjected,FlowMeterRate,DCS_InjRate_kph_,CumInj_24hr,Status_orig
01-Jan-2006,68-20RD,I,0,74,NaN,NaN,12,8,POLYLINE,24,NaN,339,8.136,I
02-Jan-2006,68-20RD,I,0,64,NaN,NaN,12,8,POLYLINE,24,NaN,302,7.248,I
03-Jan-2006,68-20RD,I,0,90,NaN,NaN,12,8,POLYLINE,24,NaN,284,6.816,I
04-Jan-2006,68-20RD,I,0,83,NaN,NaN,12,8,POLYLINE,24,NaN,332,7.968,I
05-Jan-2006,68-20RD,I,0,83,NaN,NaN,12,8,POLYLINE,24,NaN,334,8.016,I
06-Jan-2006,68-20RD,I,0,94,NaN,NaN,12,8,POLYLINE,24,NaN,336,8.064,I
07-Jan-2006,68-20RD,I,0,94,NaN,NaN,12,8,POLYLINE,24,NaN,333,7.992,I
08-Jan-2006,68-20RD,I,0,84,NaN,NaN,12,8,POLYLINE,24,NaN,328,7.872,I
09-Jan-2006,68-20RD,I,0,87,NaN,NaN,12,8,POLYLINE,24,NaN,331,7.944,I
10-Jan-2006,68-20RD,I,0,85,NaN,NaN,12,8,POLYLINE,24,NaN,323,7.752,I
11-Jan-2006,68-20RD,I,0,87,NaN,NaN,12,8,POLYLINE,24,NaN,355,8.52,I
12-Jan-2006,68-20RD,I,0,97,NaN,NaN,12,8,POLYLINE,24,NaN,330,7.92,I
13-Jan-2006,68-20RD,I,0,99,NaN,NaN,12,8,POLYLINE,24,NaN,325,7.8,I
14-Jan-2006,68-20RD,I,0,82,NaN,NaN,12,8,POLYLINE,24,NaN,302,7.248,I
15-Jan-2006,68-20RD,I,0,85,NaN,NaN,12,8,POLYLINE,24,NaN,330,7.92,I
16-Jan-2006,68-20RD,I,0,80,NaN,NaN,12,8,POLYLINE,24,NaN,338,8.112,I
17-Jan-2006,68-20RD,I,0,85,NaN,NaN,12,8,POLYLINE,24,NaN,318,7.632,I
18-Jan-2006,68-20RD,I,0,85,NaN,NaN,12,8,POLYLINE,24,NaN,316,7.584,I
19-Jan-2006,68-20RD,I,0,85,NaN,NaN,12,8,POLYLINE,24,NaN,349,8.376,I
20-Jan-2006,68-20RD,I,0,85,NaN,NaN,12,8,POLYLINE,24,NaN,321,7.704,I
21-Jan-2006,68-20RD,I,0,80,NaN,NaN,12,8,POLYLINE,24,NaN,80,1.92,I
22-Jan-2006,68-20RD,I,0,80,NaN,NaN,12,8,POLYLINE,24,NaN,328,7.872,I
23-Jan-2006,68-20RD,I,0,80,NaN,NaN,12,8,POLYLINE,24,NaN,312,7.488,I
24-Jan-2006,68-20RD,I,0,80,NaN,NaN,12,8,POLYLINE,24,NaN,310,7.44,I
25-Jan-2006,68-20RD,I,0,93,NaN,NaN,12,8,POLYLINE,24,NaN,309,7.416,I
26-Jan-2006,68-20RD,I,0,87,NaN,NaN,12,8,POLYLINE,24,NaN,304,7.296,I
27-Jan-2006,68-20RD,I,0,88,NaN,NaN,12,8,POLYLINE,24,NaN,289,6.936,I
28-Jan-2006,68-20RD,I,0,85,NaN,NaN,12,8,POLYLINE,24,NaN,291,6.984,I
29-Jan-2006,68-20RD,I,4,84,NaN,NaN,12,8,POLYLINE,24,NaN,287,6.888,I
30-Jan-2006,68-20RD,I,0,84,NaN,NaN,12,8,POLYLINE,24,NaN,279,6.696,I
31-Jan-2006,68-20RD,I,2,90,NaN,NaN,12,8,POLYLINE,24,NaN,293,7.032,I
01-Feb-2006,68-20RD,I,0,107,NaN,NaN,12,8,POLYLINE,24,NaN,282,6.768,I
02-Feb-2006,68-20RD,I,0,96,NaN,NaN,12,8,POLYLINE,24,NaN,277,6.648,I
03-Feb-2006,68-20RD,I,0,117,NaN,NaN,12,8,POLYLINE,24,NaN,270,6.48,I
04-Feb-2006,68-20RD,I,0,118,NaN,NaN,12,8,POLYLINE,24,NaN,263,6.312,I
05-Feb-2006,68-20RD,I,0,103,NaN,NaN,12,8,POLYLINE,24,NaN,254,6.096,I
06-Feb-2006,68-20RD,I,0,94,NaN,NaN,12,8,POLYLINE,24,NaN,266,6.384,I
07-Feb-2006,68-20RD,I,0,115,NaN,NaN,12,8,POLYLINE,24,NaN,571,13.704,I
08-Feb-2006,68-20RD,I,0,118,NaN,NaN,12,8,POLYLINE,24,NaN,557,13.368,I
09-Feb-2006,68-20RD,I,0,115,NaN,NaN,12,8,POLYLINE,24,NaN,498,11.952,I
10-Feb-2006,68-20RD,I,0,117,NaN,NaN,12,8,POLYLINE,24,NaN,319,7.656,I
11-Feb-2006,68-20RD,I,0,116,NaN,NaN,12,8,POLYLINE,24,NaN,390,9.36,I
12-Feb-2006,68-20RD,I,0,104,NaN,NaN,12,8,POLYLINE,24,NaN,393,9.432,I
13-Feb-2006,68-20RD,I,0,100,NaN,NaN,12,8,POLYLINE,24,NaN,287,6.888,I
14-Feb-2006,68-20RD,I,0,97,NaN,NaN,12,8,POLYLINE,24,NaN,309,7.416,I
15-Feb-2006,68-20RD,I,0,77,NaN,NaN,12,8,POLYLINE,24,NaN,322,7.728,I
16-Feb-2006,68-20RD,I,0,79,NaN,NaN,12,8,POLYLINE,24,NaN,337,8.088,I
17-Feb-2006,68-20RD,I,0,78,NaN,NaN,12,8,POLYLINE,24,NaN,333,7.992,I
18-Feb-2006,68-20RD,I,0,84,NaN,NaN,12,8,POLYLINE,24,NaN,329,7.896,I
19-Feb-2006,68-20RD,I,0,83,NaN,NaN,12,8,POLYLINE,24,NaN,308,7.392,I
20-Feb-2006,68-20RD,I,0,83,NaN,NaN,12,8,POLYLINE,24,NaN,306,7.344,I
21-Feb-2006,68-20RD,I,0,0,NaN,NaN,12,8,POLYLINE,24,NaN,173,4.152,I
22-Feb-2006,68-20RD,I,0,0,NaN,NaN,12,8,POLYLINE,24,NaN,293,7.032,I
23-Feb-2006,68-20RD,I,0,0,NaN,NaN,12,8,POLYLINE,24,NaN,359,8.616,I
24-Feb-2006,68-20RD,I,0,0,NaN,NaN,12,8,POLYLINE,24,NaN,333,7.992,I
25-Feb-2006,68-20RD,I,0,0,NaN,NaN,12,8,POLYLINE,24,NaN,357,8.568,I
26-Feb-2006,68-20RD,I,0,NaN,NaN,NaN,12,8,POLYLINE,24,NaN,347,8.328,I
27-Feb-2006,68-20RD,I,0,0,NaN,NaN,12,8,POLYLINE,24,NaN,338,8.112,I
28-Feb-2006,68-20RD,I,0,116,NaN,NaN,12,8,POLYLINE,24,NaN,333,7.992,I
01-Mar-2006,68-20RD,I,0,116,NaN,NaN,12,8,POLYLINE,24,NaN,327,7.848,I
02-Mar-2006,68-20RD,I,0,113,NaN,NaN,12,8,POLYLINE,24,NaN,351,8.424,I
03-Mar-2006,68-20RD,I,0,76,NaN,NaN,12,8,POLYLINE,24,NaN,363,8.712,I
04-Mar-2006,68-20RD,I,0,76,NaN,NaN,12,8,POLYLINE,24,NaN,335,8.04,I
05-Mar-2006,68-20RD,I,0,88,NaN,NaN,12,8,POLYLINE,24,NaN,329,7.896,I
06-Mar-2006,68-20RD,I,0,85,NaN,NaN,12,8,POLYLINE,24,NaN,334,8.016,I
07-Mar-2006,68-20RD,I,0,86,NaN,NaN,12,8,POLYLINE,24,NaN,295,7.08,I
08-Mar-2006,68-20RD,I,2,111,NaN,NaN,12,8,POLYLINE,24,NaN,297,7.128,I
09-Mar-2006,68-20RD,I,4,111,NaN,NaN,12,8,POLYLINE,24,NaN,339,8.136,I
10-Mar-2006,68-20RD,I,0,111,NaN,NaN,12,8,POLYLINE,24,NaN,303,7.272,I
11-Mar-2006,68-20RD,I,0,111,NaN,NaN,12,8,POLYLINE,24,NaN,283,6.792,I
12-Mar-2006,68-20RD,I,0,111,NaN,NaN,12,8,POLYLINE,24,NaN,328,7.872,I
13-Mar-2006,68-20RD,I,0,110,NaN,NaN,12,8,POLYLINE,24,NaN,297,7.128,I
