Date,Wellname,Status,Enthalpy,WHP_psig_,Temp_F_,CVP__open,LineID,Orifice,P1_Prod,DP_Prod,HrsToPlant,HrsToSilencer,TotMassRate,SteamRate,CumMass_24hr,BTU_day,MW,HP_SteamPressure,PressureForLP,Status_orig
01-Jan-2006,16A-20,F,678,104,326,100,13.25,11,82,8.5,24,0,91.97308,41.28022,2.207354,1496.586,2.582686,55,0,F
01-Jan-2006,16B-20,F,790,110,338,40,12,8.5,100,28.1,24,0,75.75051,43.31459,1.818012,1436.23,2.620789,55,0,F
02-Jan-2006,16A-20,F,678,104,326,100,13.25,11,82,8.5,24,0,91.97308,41.28022,2.207354,1496.586,2.591895,55,0,F
02-Jan-2006,16B-20,F,790,104,338,40,12,8.5,100,28.2,24,0,75.88313,43.39042,1.821195,1438.744,2.634738,55,0,F
03-Jan-2006,16A-20,F,678,100,326,100,13.25,11,82,8.5,24,0,91.97308,41.21236,2.207354,1496.586,2.604803,56,0,F
03-Jan-2006,16B-20,F,790,104,338,40,12,8.5,99,27.7,24,0,74.84991,42.75195,1.796398,1419.154,2.612897,56,0,F
04-Jan-2006,16A-20,F,678,100,326,100,13.25,11,82,8.5,24,0,91.97308,41.1452,2.207354,1496.586,2.574805,57,0,F
04-Jan-2006,16B-20,F,790,110,337,40,12,8.5,98,27.5,24,0,74.21565,42.34294,1.781176,1407.129,2.561982,57,0,F
05-Jan-2006,16A-20,F,678,100,326,100,13.25,11,82,8.5,24,0,91.97308,41.1452,2.207354,1496.586,2.550768,57,0,F
05-Jan-2006,16B-20,F,790,100,339,40,12,8.5,88,28,24,0,71.08979,40.55951,1.706155,1347.862,2.431165,57,0,F
06-Jan-2006,16A-20,F,678,100,326,100,13.25,11,82,8.4,24,0,91.43491,40.90444,2.194438,1487.829,2.574981,57,0,F
06-Jan-2006,16B-20,F,790,105,337,40,12,8.5,98,27.9,24,0,74.74525,42.64509,1.793886,1417.17,2.595628,57,0,F
07-Jan-2006,16A-20,F,678,100,326,100,13.25,11,82,8.5,24,0,91.97308,41.21236,2.207354,1496.586,2.62139,56,0,F
07-Jan-2006,16B-20,F,790,105,336,40,12,8.5,98,27.6,24,0,74.34843,42.46552,1.784362,1409.646,2.611918,56,0,F
08-Jan-2006,16A-20,F,678,100,326,100,13.25,11,82,8.4,24,0,91.43491,41.03867,2.194438,1487.829,2.530222,55,0,F
08-Jan-2006,16B-20,F,790,110,337,40,12,8.5,99,27.5,24,0,74.58325,42.64714,1.789998,1414.099,2.542866,55,0,F
09-Jan-2006,16A-20,F,678,100,326,100,13.25,11,82,8.4,24,0,91.43491,41.03867,2.194438,1487.829,2.648557,55,0,F
09-Jan-2006,16B-20,F,790,100,337,40,12,8.5,99,27.8,24,0,74.98285,42.87563,1.799588,1421.675,2.676054,55,0,F
10-Jan-2006,16A-20,F,678,105,326,100,13.25,11,82,8.4,24,0,91.43491,40.7729,2.194438,1487.829,2.6666,59,0,F
10-Jan-2006,16B-20,F,790,110,337,40,12,8.5,99,27.3,24,0,74.31559,42.30778,1.783574,1409.024,2.674726,59,0,F
11-Jan-2006,16A-20,F,678,108,326,100,13.25,11,82,8.5,24,0,91.97308,41.07871,2.207354,1496.586,2.662165,58,0,F
11-Jan-2006,16B-20,F,790,100,338,40,12,8.5,99,27.4,24,0,74.44955,42.42997,1.786789,1411.563,2.65835,58,0,F
12-Jan-2006,16A-20,F,678,110,326,100,13.25,11,82,8.4,24,0,91.43491,40.90444,2.194438,1487.829,2.639997,57,0,F
12-Jan-2006,16B-20,F,790,95,338,40,12,8.5,99,27.9,24,0,75.11555,42.85636,1.802773,1424.191,2.67435,57,0,F
13-Jan-2006,16A-20,F,678,110,326,100,13.25,11,82,8.4,24,0,91.43491,40.90444,2.194438,1487.829,2.654289,57,0,F
13-Jan-2006,16B-20,F,790,95,337,40,12,8.5,99,27.3,24,0,74.31559,42.39996,1.783574,1409.024,2.660193,57,0,F
14-Jan-2006,16A-20,F,678,110,326,100,13.25,11,82,8.5,24,0,91.97308,41.21236,2.207354,1496.586,2.670601,56,0,F
14-Jan-2006,16B-20,F,790,100,338,40,12,8.5,100,27.5,24,0,74.94953,42.80886,1.798789,1421.043,2.682465,56,0,F
15-Jan-2006,16A-20,F,678,100,326,100,13.25,11,82,8.5,24,0,91.97308,41.28022,2.207354,1496.586,2.721212,55,0,F
15-Jan-2006,16B-20,F,790,100,338,40,12,8.5,99,27.8,24,0,74.98285,42.87563,1.799588,1421.675,2.733374,55,0,F
16-Jan-2006,16A-20,F,678,108,326,100,13.25,11,82,8.4,24,0,91.43491,41.03867,2.194438,1487.829,2.720521,55,0,F
16-Jan-2006,16B-20,F,790,110,338,40,12,8.5,99,27,24,0,73.91216,42.26341,1.773892,1401.375,2.709515,55,0,F
17-Jan-2006,16A-20,F,678,110,326,100,13.25,11,82,8.5,24,0,91.97308,41.1452,2.207354,1496.586,2.711649,57,0,F
17-Jan-2006,16B-20,F,790,95,338,40,12,8.5,100,27.3,24,0,74.68052,42.60816,1.792333,1415.943,2.715044,57,0,F
18-Jan-2006,16A-20,F,678,100,326,100,13.25,11,82,8.5,24,0,91.97308,41.21236,2.207354,1496.586,2.659069,56,0,F
18-Jan-2006,16B-20,F,790,108,338,37,12,8.5,99,28,24,0,75.248,42.97933,1.805952,1426.702,2.681517,56,0,F
19-Jan-2006,16A-20,F,678,100,326,100,13.25,11,82,8.6,24,0,92.50803,41.45206,2.220193,1505.291,2.678309,56,0,F
19-Jan-2006,16B-20,F,790,103,338,37,12,8.5,99,26.7,24,0,73.50639,41.98458,1.764153,1393.681,2.62315,56,0,F
20-Jan-2006,16A-20,F,678,100,326,100,13.25,11,82,8.5,24,0,91.97308,41.21236,2.207354,1496.586,2.7019,56,0,F
20-Jan-2006,16B-20,F,790,110,338,37,12,8.5,100,27.4,24,0,74.81516,42.73211,1.795564,1418.495,2.709038,56,0,F
21-Jan-2006,16A-20,F,678,100,326,100,13.25,11,82,8.5,24,0,91.97308,41.28022,2.207354,1496.586,2.65131,55,0,F
21-Jan-2006,16B-20,F,790,110,338,37,12,8.5,100,27,24,0,74.27505,42.47091,1.782601,1408.255,2.638021,55,0,F
22-Jan-2006,16A-20,F,678,104,326,100,13.25,11,82,8.5,24,0,91.97308,41.28022,2.207354,1496.586,2.653705,55,0,F
22-Jan-2006,16B-20,F,790,105,338,37,12,8.5,100,27.2,24,0,74.54562,42.62563,1.789095,1413.385,2.650023,55,0,F
23-Jan-2006,16A-20,F,678,100,326,100,13.25,11,82,8.6,24,0,92.50803,41.65902,2.220193,1505.291,2.590127,53,0,F
23-Jan-2006,16B-20,F,790,110,338,37,12,8.5,100,27,24,0,74.27505,42.5671,1.782601,1408.255,2.560081,53,0,F
24-Jan-2006,16A-20,F,678,100,326,100,13.25,11,88,8.7,24,0,96.36708,43.18127,2.31281,1568.085,2.735794,56,0,F
24-Jan-2006,16B-20,F,790,105,338,37,12,8.5,99,26.7,24,0,73.50639,41.98458,1.764153,1393.681,2.572152,56,0,F
25-Jan-2006,16A-20,F,678,100,326,100,13.25,11,82,8.8,24,0,93.56843,41.92722,2.245642,1522.545,2.689573,56,0,F
25-Jan-2006,16B-20,F,790,105,338,37,12,8.5,99,27.1,24,0,74.0469,42.2933,1.777125,1403.929,2.62348,56,0,F
26-Jan-2006,16A-20,F,678,110,326,100,13.25,11,82,8.8,24,0,93.56843,41.85889,2.245642,1522.545,2.694584,57,0,F
26-Jan-2006,16B-20,F,790,100,338,37,12,8.5,100,26.7,24,0,73.86723,42.14415,1.772814,1400.523,2.623077,57,0,F
27-Jan-2006,16A-20,F,678,102,326,100,13.25,11,82,8.7,24,0,93.03979,41.69034,2.232955,1513.943,2.718189,56,0,F
27-Jan-2006,16B-20,F,790,110,338,37,12,8.5,99,26.9,24,0,73.77716,42.13924,1.770652,1398.815,2.656744,56,0,F
28-Jan-2006,16A-20,F,678,102,326,100,13.25,11,82,8.5,24,0,91.97308,41.21236,2.207354,1496.586,2.69831,56,0,F
28-Jan-2006,16B-20,F,790,108,338,37,12,8.5,100,26.8,24,0,74.00344,42.26848,1.776083,1403.105,2.676085,56,0,F
29-Jan-2006,16A-20,F,678,100,326,10,13.25,11,82,8.6,24,0,92.50803,41.52032,2.220193,1505.291,2.717427,55,0,F
29-Jan-2006,16B-20,F,790,105,338,37,12,8.5,99,26.7,24,0,73.50639,42.03138,1.764153,1393.681,2.660352,55,0,F
30-Jan-2006,16A-20,F,678,108,326,100,13.25,11,82,8.5,24,0,91.97308,41.21236,2.207354,1496.586,2.654215,56,0,F
30-Jan-2006,16B-20,F,790,100,338,37,12,8.5,99,26.9,24,0,73.77716,42.13924,1.770652,1398.815,2.624304,56,0,F
31-Jan-2006,16A-20,F,678,104,326,100,13.25,11,82,8.5,24,0,91.97308,41.21236,2.207354,1496.586,2.697691,56,0,F
31-Jan-2006,16B-20,F,790,105,337,37,12,8.5,99,26.4,24,0,73.09822,41.75145,1.754357,1385.942,2.642744,56,0,F
01-Feb-2006,16A-20,F,678,100,326,100,13.25,11,82,8.2,24,0,90.34862,40.41848,2.168367,1470.153,2.60632,57,0,F
01-Feb-2006,16B-20,F,790,100,338,37,12,8.5,100,27,24,0,74.27505,42.37683,1.782601,1408.255,2.642081,57,0,F
02-Feb-2006,16A-20,F,678,100,326,100,13.25,11,82,8.4,24,0,91.43491,40.90444,2.194438,1487.829,2.615158,57,0,F
