x,y,z
428758.02,3984507.45,-1531.94
428713.58,3984491.60,-1515.38
428669.14,3984475.75,-1498.82
428624.71,3984459.89,-1482.27
428580.27,3984444.04,-1465.71
428535.84,3984428.19,-1449.15
428491.40,3984412.33,-1432.59
428446.97,3984396.48,-1416.04
428402.53,3984380.63,-1399.48
428358.09,3984364.78,-1382.92
428313.66,3984348.92,-1366.36
428269.22,3984333.07,-1349.81
428773.59,3984513.09,-1484.76
428729.15,3984497.23,-1468.20
428684.71,3984481.38,-1451.65
428640.28,3984465.53,-1435.09
428595.84,3984449.68,-1418.53
428551.41,3984433.82,-1401.97
428506.97,3984417.97,-1385.42
428462.54,3984402.12,-1368.86
428418.10,3984386.27,-1352.30
428373.66,3984370.41,-1335.74
428329.23,3984354.56,-1319.18
428284.79,3984338.71,-1302.63
428789.15,3984518.72,-1437.58
428744.72,3984502.87,-1421.03
428700.28,3984487.02,-1404.47
428655.85,3984471.16,-1387.91
428611.41,3984455.31,-1371.35
428566.98,3984439.46,-1354.79
428522.54,3984423.61,-1338.24
428478.10,3984407.75,-1321.68
428433.67,3984391.90,-1305.12
428389.23,3984376.05,-1288.56
428344.80,3984360.20,-1272.01
428300.36,3984344.34,-1255.45
428804.72,3984524.36,-1390.40
428760.29,3984508.51,-1373.85
428715.85,3984492.65,-1357.29
428671.42,3984476.80,-1340.73
428626.98,3984460.95,-1324.17
428582.55,3984445.10,-1307.62
428538.11,3984429.24,-1291.06
428493.67,3984413.39,-1274.50
428449.24,3984397.54,-1257.94
428404.80,3984381.68,-1241.38
428360.37,3984365.83,-1224.83
428315.93,3984349.98,-1208.27
428820.29,3984529.99,-1343.23
428775.86,3984514.14,-1326.67
428731.42,3984498.29,-1310.11
428686.99,3984482.44,-1293.55
428642.55,3984466.58,-1276.99
428598.11,3984450.73,-1260.44
428553.68,3984434.88,-1243.88
428509.24,3984419.03,-1227.32
428464.81,3984403.17,-1210.76
428420.37,3984387.32,-1194.21
428375.94,3984371.47,-1177.65
428331.50,3984355.62,-1161.09
428835.86,3984535.63,-1296.05
428791.43,3984519.78,-1279.49
428746.99,3984503.93,-1262.93
428702.55,3984488.07,-1246.37
428658.12,3984472.22,-1229.82
428613.68,3984456.37,-1213.26
428569.25,3984440.51,-1196.70
428524.81,3984424.66,-1180.14
428480.38,3984408.81,-1163.58
428435.94,3984392.96,-1147.03
428391.50,3984377.10,-1130.47
428347.07,3984361.25,-1113.91
428851.43,3984541.27,-1248.87
428807.00,3984525.41,-1232.31
428762.56,3984509.56,-1215.75
428718.12,3984493.71,-1199.19
428673.69,3984477.86,-1182.64
428629.25,3984462.00,-1166.08
428584.82,3984446.15,-1149.52
428540.38,3984430.30,-1132.96
428495.95,3984414.45,-1116.41
428451.51,3984398.59,-1099.85
428407.07,3984382.74,-1083.29
428362.64,3984366.89,-1066.73
428867.00,3984546.90,-1201.69
428822.56,3984531.05,-1185.13
428778.13,3984515.20,-1168.57
428733.69,3984499.34,-1152.02
428689.26,3984483.49,-1135.46
428644.82,3984467.64,-1118.90
428600.39,3984451.79,-1102.34
428555.95,3984435.93,-1085.78
428511.51,3984420.08,-1069.23
428467.08,3984404.23,-1052.67
428422.64,3984388.38,-1036.11
428378.21,3984372.52,-1019.55
428882.57,3984552.54,-1154.51
428838.13,3984536.69,-1137.95
428793.70,3984520.83,-1121.39
428749.26,3984504.98,-1104.84
428704.83,3984489.13,-1088.28
428660.39,3984473.28,-1071.72
428615.96,3984457.42,-1055.16
428571.52,3984441.57,-1038.61
428527.08,3984425.72,-1022.05
428482.65,3984409.86,-1005.49
428438.21,3984394.01,-988.93
428393.78,3984378.16,-972.38
428898.14,3984558.17,-1107.33
428853.70,3984542.32,-1090.77
428809.27,3984526.47,-1074.22
428764.83,3984510.62,-1057.66
428720.40,3984494.76,-1041.10
428675.96,3984478.91,-1024.54
428631.52,3984463.06,-1007.99
428587.09,3984447.21,-991.43
428542.65,3984431.35,-974.87
428498.22,3984415.50,-958.31
428453.78,3984399.65,-941.75
428409.35,3984383.80,-925.20
428913.71,3984563.81,-1060.15
428869.27,3984547.96,-1043.59
428824.84,3984532.11,-1027.04
428780.40,3984516.25,-1010.48
428735.96,3984500.40,-993.92
428691.53,3984484.55,-977.36
428647.09,3984468.69,-960.81
428602.66,3984452.84,-944.25
428558.22,3984436.99,-927.69
428513.79,3984421.14,-911.13
428469.35,3984405.28,-894.58
428424.91,3984389.43,-878.02
428929.28,3984569.45,-1012.97
428884.84,3984553.59,-996.42
428840.41,3984537.74,-979.86
428795.97,3984521.89,-963.30
428751.53,3984506.04,-946.74
428707.10,3984490.18,-930.19
428662.66,3984474.33,-913.63
428618.23,3984458.48,-897.07
428573.79,3984442.63,-880.51
428529.36,3984426.77,-863.95
428484.92,3984410.92,-847.40
428440.48,3984395.07,-830.84
428944.85,3984575.08,-965.79
428900.41,3984559.23,-949.24
428855.97,3984543.38,-932.68
428811.54,3984527.52,-916.12
428767.10,3984511.67,-899.56
428722.67,3984495.82,-883.01
428678.23,3984479.97,-866.45
428633.80,3984464.11,-849.89
428589.36,3984448.26,-833.33
428544.92,3984432.41,-816.78
428500.49,3984416.56,-800.22
428456.05,3984400.70,-783.66
428960.42,3984580.72,-918.62
428915.98,3984564.87,-902.06
428871.54,3984549.01,-885.50
428827.11,3984533.16,-868.94
428782.67,3984517.31,-852.39
428738.24,3984501.46,-835.83
428693.80,3984485.60,-819.27
428649.36,3984469.75,-802.71
428604.93,3984453.90,-786.15
428560.49,3984438.04,-769.60
428516.06,3984422.19,-753.04
428471.62,3984406.34,-736.48
428975.98,3984586.35,-871.44
428931.55,3984570.50,-854.88
428887.11,3984554.65,-838.32
428842.68,3984538.80,-821.76
428798.24,3984522.94,-805.21
428753.81,3984507.09,-788.65
428709.37,3984491.24,-772.09
428664.93,3984475.39,-755.53
428620.50,3984459.53,-738.98
428576.06,3984443.68,-722.42
428531.63,3984427.83,-705.86
428487.19,3984411.98,-689.30
428991.55,3984591.99,-824.26
428947.12,3984576.14,-807.70
428902.68,3984560.29,-791.14
428858.25,3984544.43,-774.59
428813.81,3984528.58,-758.03
428769.37,3984512.73,-741.47
428724.94,3984496.87,-724.91
428680.50,3984481.02,-708.35
428636.07,3984465.17,-691.80
428591.63,3984449.32,-675.24
428547.20,3984433.46,-658.68
428502.76,3984417.61,-642.12
429007.12,3984597.63,-777.08
428962.69,3984581.77,-760.52
428918.25,3984565.92,-743.96
428873.82,3984550.07,-727.41
428829.38,3984534.22,-710.85
428784.94,3984518.36,-694.29
428740.51,3984502.51,-677.73
428696.07,3984486.66,-661.18
428651.64,3984470.81,-644.62
428607.20,3984454.95,-628.06
428562.77,3984439.10,-611.50
428518.33,3984423.25,-594.95
429022.69,3984603.26,-729.90
428978.26,3984587.41,-713.34
428933.82,3984571.56,-696.79
428889.38,3984555.70,-680.23
428844.95,3984539.85,-663.67
428800.51,3984524.00,-647.11
428756.08,3984508.15,-630.55
428711.64,3984492.29,-614.00
428667.21,3984476.44,-597.44
428622.77,3984460.59,-580.88
428578.33,3984444.74,-564.32
428533.90,3984428.88,-547.77
429038.26,3984608.90,-682.72
428993.83,3984593.05,-666.16
428949.39,3984577.19,-649.61
428904.95,3984561.34,-633.05
428860.52,3984545.49,-616.49
428816.08,3984529.64,-599.93
428771.65,3984513.78,-583.38
428727.21,3984497.93,-566.82
428682.77,3984482.08,-550.26
428638.34,3984466.22,-533.70
428593.90,3984450.37,-517.15
428549.47,3984434.52,-500.59
429053.83,3984614.53,-635.54
429009.39,3984598.68,-618.99
428964.96,3984582.83,-602.43
428920.52,3984566.98,-585.87
428876.09,3984551.12,-569.31
428831.65,3984535.27,-552.76
428787.22,3984519.42,-536.20
428742.78,3984503.57,-519.64
428698.34,3984487.71,-503.08
428653.91,3984471.86,-486.52
428609.47,3984456.01,-469.97
428565.04,3984440.16,-453.41
429069.40,3984620.17,-588.36
429024.96,3984604.32,-571.81
428980.53,3984588.47,-555.25
428936.09,3984572.61,-538.69
428891.66,3984556.76,-522.13
428847.22,3984540.91,-505.58
428802.78,3984525.05,-489.02
428758.35,3984509.20,-472.46
428713.91,3984493.35,-455.90
428669.48,3984477.50,-439.35
428625.04,3984461.64,-422.79
428580.61,3984445.79,-406.23
429084.97,3984625.81,-541.19
429040.53,3984609.95,-524.63
428996.10,3984594.10,-508.07
428951.66,3984578.25,-491.51
428907.23,3984562.40,-474.96
428862.79,3984546.54,-458.40
428818.35,3984530.69,-441.84
428773.92,3984514.84,-425.28
428729.48,3984498.99,-408.72
428685.05,3984483.13,-392.17
428640.61,3984467.28,-375.61
428596.18,3984451.43,-359.05
429100.54,3984631.44,-494.01
429056.10,3984615.59,-477.45
429011.67,3984599.74,-460.89
428967.23,3984583.88,-444.33
428922.79,3984568.03,-427.78
428878.36,3984552.18,-411.22
428833.92,3984536.33,-394.66
428789.49,3984520.47,-378.10
428745.05,3984504.62,-361.55
428700.62,3984488.77,-344.99
428656.18,3984472.92,-328.43
428611.74,3984457.06,-311.87
429116.11,3984637.08,-446.83
429071.67,3984621.23,-430.27
429027.24,3984605.37,-413.71
428982.80,3984589.52,-397.16
428938.36,3984573.67,-380.60
428893.93,3984557.82,-364.04
428849.49,3984541.96,-347.48
428805.06,3984526.11,-330.92
428760.62,3984510.26,-314.37
428716.18,3984494.41,-297.81
428671.75,3984478.55,-281.25
428627.31,3984462.70,-264.69
429131.68,3984642.71,-399.65
429087.24,3984626.86,-383.09
429042.80,3984611.01,-366.53
428998.37,3984595.16,-349.98
428953.93,3984579.30,-333.42
428909.50,3984563.45,-316.86
428865.06,3984547.60,-300.30
428820.63,3984531.75,-283.75
428776.19,3984515.89,-267.19
428731.75,3984500.04,-250.63
428687.32,3984484.19,-234.07
428642.88,3984468.34,-217.51
429147.24,3984648.35,-352.47
429102.81,3984632.50,-335.91
429058.37,3984616.65,-319.36
429013.94,3984600.79,-302.80
428969.50,3984584.94,-286.24
428925.07,3984569.09,-269.68
428880.63,3984553.24,-253.12
428836.19,3984537.38,-236.57
428791.76,3984521.53,-220.01
428747.32,3984505.68,-203.45
428702.89,3984489.82,-186.89
428658.45,3984473.97,-170.34
429162.81,3984653.99,-305.29
429118.38,3984638.13,-288.73
429073.94,3984622.28,-272.18
429029.51,3984606.43,-255.62
428985.07,3984590.58,-239.06
428940.64,3984574.72,-222.50
428896.20,3984558.87,-205.95
428851.76,3984543.02,-189.39
428807.33,3984527.17,-172.83
428762.89,3984511.31,-156.27
428718.46,3984495.46,-139.72
428674.02,3984479.61,-123.16
429178.38,3984659.62,-258.11
429133.95,3984643.77,-241.56
429089.51,3984627.92,-225.00
429045.08,3984612.07,-208.44
429000.64,3984596.21,-191.88
428956.20,3984580.36,-175.32
428911.77,3984564.51,-158.77
428867.33,3984548.65,-142.21
428822.90,3984532.80,-125.65
428778.46,3984516.95,-109.09
428734.03,3984501.10,-92.54
428689.59,3984485.24,-75.98
429193.95,3984665.26,-210.93
429149.52,3984649.41,-194.38
429105.08,3984633.55,-177.82
429060.65,3984617.70,-161.26
429016.21,3984601.85,-144.70
428971.77,3984586.00,-128.15
428927.34,3984570.14,-111.59
428882.90,3984554.29,-95.03
428838.47,3984538.44,-78.47
428794.03,3984522.59,-61.92
428749.59,3984506.73,-45.36
428705.16,3984490.88,-28.80
429209.52,3984670.90,-163.76
429165.09,3984655.04,-147.20
429120.65,3984639.19,-130.64
429076.21,3984623.34,-114.08
429031.78,3984607.48,-97.52
428987.34,3984591.63,-80.97
428942.91,3984575.78,-64.41
428898.47,3984559.93,-47.85
428854.04,3984544.07,-31.29
428809.60,3984528.22,-14.74
429225.09,3984676.53,-116.58
429180.65,3984660.68,-100.02
429136.22,3984644.83,-83.46
429091.78,3984628.97,-66.90
429047.35,3984613.12,-50.35
429002.91,3984597.27,-33.79
428958.48,3984581.42,-17.23
428914.04,3984565.56,-0.67
429240.66,3984682.17,-69.40
429196.22,3984666.31,-52.84
429151.79,3984650.46,-36.28
429107.35,3984634.61,-19.73
429062.92,3984618.76,-3.17
